"id","price_doc"
30474,4872739.12285717
30475,8436943.56420476
30476,5623752.41309629
30477,6953173.57274444
30478,5434617.64866591
30479,6300200.16715298
30480,5472003.26784809
30481,5107304.85031201
30482,5475954.55290422
30483,4792780.96260555
30484,6412826.38734872
30485,5057077.12695862
30486,5345423.43313628
30487,5257386.51919664
30488,6238579.76430476
30489,6791749.55631587
30490,8328257.21536667
30491,8934392.61493333
30492,6951032.1068
30493,7767490.11066666
30494,7897716.60059495
30495,8348595.28496667
30496,6639516.53084551
30497,8998951.416
30498,4967378.96948333
30499,7470455.10546667
30500,8399316.09739668
30501,7338686.75747619
30502,4872425.9181511
30503,5835080.58729064
30504,5660514.7241796
30505,9219290.3062
30506,6045490.98336032
30507,5076368.30269075
30508,6760309.18925011
30509,6917839.85379225
30510,8778084.4006
30511,6230184.49266667
30512,5692196.08337874
30513,5566636.97528142
30514,5989535.20173566
30515,8217332.34867778
30516,6847732.6299062
30517,8216703.82572222
30518,5354190.64074552
30519,5990904.41166667
30520,6202152.29228828
30521,5344956.5404
30522,7496269.63128254
30523,6342825.60181362
30524,8187105.19313333
30525,5904710.62226667
30526,5359123.79522689
30527,6485214.54821429
30528,5766733.03411133
30529,6714708.3
30530,5655350.56421515
30531,10343773.7749949
30532,5254035.12964723
30533,7458598.342
30534,6883927.27013333
30535,8766952.87993333
30536,6656954.90557302
30537,11178880.7784
30538,5114841.05313219
30539,7660133.4563
30540,8848159.37143334
30541,6275772.20070731
30542,4832884.91074776
30543,5178085.30156163
30544,8388393.75170476
30545,6657539.00266667
30546,5177284.59667883
30547,6808310.15345556
30548,5473013.38131083
30549,4570236.15179974
30550,10729423.9063
30551,4994551.1105656
30552,4785005.64337649
30553,5948052.64896154
30554,9683705.9143
30555,7497428.38718716
30556,7208283.54433075
30557,8292101.85695238
30558,7286516.8370335
30559,6265140.06316667
30560,5822796.998
30561,6258446.62227619
30562,6960920.23221746
30563,5770864.04796445
30564,6693915.47966667
30565,9329282.84983333
30566,8885165.07254444
30567,4844490.9904876
30568,7822914.7433
30569,8958831.5615
30570,5962755.94848334
30571,6171810.47210479
30572,4950548.06242133
30573,6298690.5283011
30574,7061237.25302871
30575,5644672.8915
30576,5535388.66986666
30577,5699634.47258826
30578,6066990.76839365
30579,6576193.04713333
30580,4695950.93159524
30581,5228732.72558182
30582,8232785.09303333
30583,7314122.78589365
30584,4996836.32342051
30585,5075449.07232808
30586,7903952.16383333
30587,6561573.35440555
30588,6150649.38308333
30589,8156385.9993
30590,7789943.82430476
30591,5132758.25979318
30592,6300604.96236667
30593,6583516.38114335
30594,7659786.40296667
30595,5395250.75523333
30596,7673402.02631588
30597,6264304.61863444
30598,8863070.7101
30599,8628668.5079619
30600,7346495.67833333
30601,5369331.07431683
30602,5009786.03639872
30603,11604386.5102
30604,5222179.84554389
30605,6356230.3120011
30606,9776689.0092
30607,6019336.87647619
30608,8136149.31980476
30609,6726178.64501587
30610,4761750.19231776
30611,6810826.73091678
30612,7764259.97058205
30613,7912453.8496
30614,10972318.3578667
30615,6611258.42486667
30616,6899587.17500731
30617,7412424.77990476
30618,5112020.96061905
30619,6126339.94981599
30620,6129327.95833333
30621,7276906.254
30622,6136038.72796296
30623,6427995.66122011
30624,7661103.04190873
30625,6827596.93254921
30626,6255216.64401207
30627,7128013.0766
30628,6300391.7638011
30629,5264000.1212
30630,5754368.95266317
30631,6366613.87607841
30632,4621773.02425712
30633,5829765.35761739
30634,10913809.1814667
30635,8958221.90843334
30636,5077189.11477297
30637,8885114.61735556
30638,6003282.38766667
30639,6409455.808
30640,5156987.39198344
30641,10243559.4814333
30642,5316294.98453077
30643,7628539.43353334
30644,8871730.04343334
30645,6521793.8133316
30646,5457481.72416667
30647,5481195.42856084
30648,9847775.3123
30649,5713773.61780196
30650,5657871.45247722
30651,6089361.73009365
30652,5019695.30828932
30653,5205495.02384541
30654,5890028.49262419
30655,7296021.13451583
30656,5049253.29854617
30657,5482165.67295238
30658,6487329.54243447
30659,5081926.44428954
30660,7974904.06876666
30661,6205061.82378205
30662,6076560.87084093
30663,9840368.81433334
30664,7039605.63226667
30665,6720977.70376587
30666,5166590.51023105
30667,5013026.40647121
30668,6399902.44804445
30669,5893296.40150857
30670,4431985.84362222
30671,7252359.86065238
30672,7670083.09773205
30673,9880559.19725238
30674,7726325.80086666
30675,4825692.64337649
30676,7947488.71153334
30677,5207766.50336296
30678,8836181.68829047
30679,5671092.50133776
30680,5529315.57166147
30681,4710052.29053744
30682,7100573.85243333
30683,8904978.23776667
30684,5818449.17317229
30685,8465335.34635238
30686,8019044.66144445
30687,5699641.85224639
30688,4616477.46369655
30689,7748698.064
30690,9847775.3123
30691,5519407.755
30692,5622944.64035714
30693,7323020.93292222
30694,5453007.20466667
30695,6264594.706297
30696,6026198.34083333
30697,7711201.25343333
30698,7754708.96906667
30699,5517022.49558333
30700,5006495.71117133
30701,8852993.37676667
30702,6013404.21
30703,5109543.17870827
30704,7010085.67250317
30705,6666082.81368831
30706,8505202.57497778
30707,7063445.04686032
30708,9328114.3324
30709,5819993.31184872
30710,7055625.20967873
30711,6399186.75126667
30712,4839003.42948205
30713,5628777.00816667
30714,4857001.43258664
30715,5545002.11445
30716,8871621.23776667
30717,5951278.6005
30718,9989068.35946667
30719,9350627.73185556
30720,8548842.93333333
30721,5864358.221
30722,8300239.79699524
30723,6770876.44159445
30724,10096105.7686
30725,6100554.62516666
30726,10753928.2877
30727,8260123.81334445
30728,7540169.98478889
30729,7121267.20899365
30730,5321258.56339194
30731,8859424.36056667
30732,5240903.25445384
30733,10643171.2719333
30734,5901146.08873443
30735,6744808.16033925
30736,7227428.3567
30737,5881635.05454908
30738,6096610.73916667
30739,6938747.75101587
30740,6331719.74233001
30741,6720414.8529189
30742,5830049.45364162
30743,5745858.27614655
30744,7129725.41439192
30745,7928437.76423334
30746,6791386.13153925
30747,7750718.67693333
30748,9848901.71776667
30749,6055177.94618029
30750,6348134.35817814
30751,4856971.76254762
30752,6042375.12362892
30753,7557432.93241111
30754,6137420.3439296
30755,7968133.55787143
30756,7651986.40296667
30757,6015262.28833333
30758,7363998.86843333
30759,5822675.6734
30760,6946486.94737302
30761,7763915.54696666
30762,6839004.21514113
30763,7092837.19951428
30764,7207335.90605873
30765,4897106.27867026
30766,5276090.98206121
30767,8428004.18345238
30768,5786030.8673296
30769,6595234.76832874
30770,6947498.83212778
30771,4653360.61636538
30772,8092754.54163333
30773,9078242.8222
30774,7641399.9646672
30775,8576397.73156667
30776,5602072.17633333
30777,6416219.37691587
30778,7168899.3146
30779,6680699.40533333
30780,7075024.24983333
30781,6098363.2380511
30782,6394869.16465899
30783,6557041.80529365
30784,4946524.16911141
30785,5705091.76111549
30786,5467150.42161086
30787,7855608.79025858
30788,6616461.32727273
30789,7326523.42081207
30790,6116164.09866667
30791,8389757.74223334
30792,5912838.62206777
30793,6869936.25407952
30794,9208317.28144286
30795,7510277.6533
30796,9325647.15481429
30797,8794576.39776191
30798,4639114.28190489
30799,8985809.55843333
30800,9177021.1336
30801,7850424.75505858
30802,9708076.9596
30803,5022075.43434157
30804,4753123.14762416
30805,8277055.46780303
30806,5918041.08873443
30807,6144389.73926667
30808,6952135.92009634
30809,6569530.39469524
30810,9469095.44481904
30811,5180884.85069935
30812,5848468.83868718
30813,5568853.69533333
30814,4343019.0402807
30815,5159563.83405555
30816,7628138.88846667
30817,4834467.27056733
30818,6776561.11033535
30819,6053767.52738974
30820,5381858.18203241
30821,9867037.48153333
30822,6480588.09183333
30823,6146922.2242617
30824,5037078.90526776
30825,5558826.90552052
30826,8342870.2296
30827,5517359.06342913
30828,5670611.4219
30829,4927349.72720897
30830,7538178.09993637
30831,5578132.29631685
30832,5327367.41277297
30833,5521261.78584848
30834,5033907.37346694
30835,7597734.39888376
30836,7148538.81387539
30837,5753629.25651774
30838,5035065.13366667
30839,6010467.68485581
30840,9413451.66026667
30841,8492472.86733333
30842,6225267.491
30843,5160275.71343913
30844,7763983.86163333
30845,7420958.89983333
30846,4936025.82084808
30847,5359190.05791667
30848,8827280.1070381
30849,4751298.45666361
30850,5221178.48604538
30851,5942422.41793095
30852,9233175.5042
30853,4948388.89725
30854,6035654.77076667
30855,6027188.6916511
30856,7347014.38116667
30857,4879722.98138443
30858,5443358.55561086
30859,6762906.26090476
30860,5435950.68658734
30861,7164111.1264498
30862,6017979.28566667
30863,6769876.90522832
30864,5216434.00327564
30865,7915853.07783334
30866,5298958.3481954
30867,5950282.8366
30868,6235684.86631683
30869,5327096.58674009
30870,6783956.42959394
30871,8128147.49343333
30872,5513568.34843529
30873,4882798.91762617
30874,5176718.25670503
30875,5869451.58983334
30876,5446362.7328598
30877,8850096.32806667
30878,6785359.70323925
30879,8631359.71743334
30880,7846382.78252525
30881,4834467.27056733
30882,6467758.94028296
30883,4888401.85731055
30884,6824299.55227474
30885,5400874.96964442
30886,8536747.43871111
30887,5997899.24666666
30888,6146470.26828266
30889,5799712.37597051
30890,7578222.58686667
30891,5275208.84540407
30892,5231450.30616121
30893,5516370.94611475
30894,6037456.36839394
30895,5342163.99920083
30896,5375877.94946643
30897,6204297.94804762
30898,5071909.36948944
30899,5744491.93778205
30900,5149908.0822611
30901,5954137.57075018
30902,4845050.57101178
30903,6720706.44578655
30904,7291779.05913334
30905,6757935.00956652
30906,6577957.95321056
30907,10284270.81
30908,4592080.44666824
30909,8194661.4985
30910,8284052.11457143
30911,4586760.30295125
30912,5208935.44682254
30913,7785714.10113333
30914,6443491.86866667
30915,6639136.922
30916,6496251.33469921
